Time: 66 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 68 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 70 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 72 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 74 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 76 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 78 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 80 | PID:  | CPU: 0 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 80 | PID: 3 | CPU: 0 | Action: MEMORY_TRANSFER | Dur: 5
Time: 80 | PID: 3 | CPU: 0 | Action: SCHEDULED | Dur: 0
Time: 81 | PID: 3 | CPU: 0 | Action: WAITING_FOR_MEMORY | Dur: 1
Time: 82 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 82 | PID: 3 | CPU: 0 | Action: WAITING_FOR_MEMORY | Dur: 1
Time: 83 | PID: 3 | CPU: 0 | Action: WAITING_FOR_MEMORY | Dur: 1
Time: 84 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 84 | PID: 3 | CPU: 0 | Action: WAITING_FOR_MEMORY | Dur: 1
Time: 85 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 86 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 86 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 87 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 88 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 88 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 89 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 89 | PID: 3 | CPU:  | Action: SWITCH_ACTIVITY | Dur: 0
Time: 89 | PID: 3 | CPU: 0 | Action: SCHEDULED | Dur: 0
Time: 90 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 90 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 91 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 92 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 92 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 93 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 94 | PID:  | CPU: 1 | Action: SYSTEM_CALL_HANDLING | Dur: 1
Time: 94 | PID: 3 | CPU: 0 | Action: EXECUTING | Dur: 1
Time: 94 | PID: 3 | CPU:  | Action: FINISHED | Dur: 0
